Family	Genome type	Host type
Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Fusariviridae	ssRNA(+)	Eukaryote
Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Hypoviridae	ssRNA	Eukaryote
Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Partitiviridae	dsRNA	Unknown
Viruses;Riboviria;Orthornavirae;Pisuviricota;Duplopiviricetes;Durnavirales;Picobirnaviridae	dsRNA	Prokaryote
Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes	ssRNA(+)	Eukaryote
Viruses;Riboviria;Orthornavirae;Pisuviricota;Stelpaviricetes	ssRNA(+)	Eukaryote
Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Blubervirales;Hepadnaviridae	dsDNA-RT	Eukaryote
Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Belpaoviridae	ssRNA-RT	Eukaryote
Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Caulimoviridae	dsDNA-RT	Eukaryote
Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Metaviridae	ssRNA-RT	Eukaryote
Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Pseudoviridae	ssRNA-RT	Unknown
Viruses;Riboviria;Pararnavirae;Artverviricota;Revtraviricetes;Ortervirales;Retroviridae	ssRNA-RT	Eukaryote
Viruses;Ribozyviria;Kolmioviridae	ssRNA(-)	Eukaryote
Viruses;Varidnaviria;Bamfordvirae;Yaraviridae	dsDNA	Eukaryote
Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota	dsDNA	Eukaryote
Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Megaviricetes	dsDNA	Eukaryote
Viruses;Varidnaviria;Bamfordvirae;Nucleocytoviricota;Pokkesviricetes	dsDNA	Eukaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Ainoaviricetes;Lautamovirales;Finnlakeviridae	ssDNA	Prokaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Maveriviricetes	dsDNA	Eukaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Polintoviricetes	dsDNA	Eukaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes	dsDNA	Unknown
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Autolykiviridae	dsDNA	Prokaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Atroposvirales;Skuldviridae	dsDNA	Prokaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Belfryvirales;Turriviridae	dsDNA	Prokaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Coyopavirales;Chaacviridae	dsDNA	Prokaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Kalamavirales;Tectiviridae	dsDNA	Prokaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Rowavirales;Adenoviridae	dsDNA	Eukaryote
Viruses;Varidnaviria;Bamfordvirae;Preplasmiviricota;Tectiliviricetes;Vinavirales;Corticoviridae	dsDNA	Prokaryote
Viruses;Varidnaviria;Helvetiavirae	dsDNA	Prokaryote
Viruses;Varidnaviria;Helvetiavirae;Dividoviricota;Laserviricetes	dsDNA	Prokaryote
